                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.604,                 3.6444,                 1.3016,                0.62815,                0.08313,                0.14874,                0.07467,                 1.5973,                 3.1989,                 1.2484,             0.00029759,             0.00029759,             0.00029759
                      2,                 1.6389,                 2.5447,                 1.2903,                0.47432,                0.32943,                0.28563,                0.14808,                 1.6647,                 2.3708,                 1.3546,              0.0005887,              0.0005887,              0.0005887
                      3,                 1.5845,                 2.3203,                 1.2869,                0.39085,                0.29202,                 0.3226,                0.16465,                 1.6845,                 2.2523,                 1.3429,             0.00086781,             0.00086781,             0.00086781
                      4,                  1.614,                 2.2345,                 1.3142,                0.26711,                 0.3583,                0.23592,                0.11669,                 1.6903,                 2.4998,                 1.4209,             0.00085501,             0.00085501,             0.00085501
                      5,                 1.5792,                 2.1265,                 1.3062,                 0.4055,                0.43488,                0.37059,                0.20695,                 1.6346,                 2.0651,                 1.3365,             0.00085501,             0.00085501,             0.00085501
                      6,                 1.5425,                  2.049,                  1.263,                0.44825,                0.44043,                0.44371,                0.22948,                 1.6305,                 1.9772,                 1.3316,             0.00083701,             0.00083701,             0.00083701
                      7,                 1.5618,                 1.9088,                 1.2725,                0.48457,                0.49443,                  0.499,                0.26663,                 1.5944,                 1.9769,                 1.2949,             0.00081901,             0.00081901,             0.00081901
                      8,                  1.499,                 1.8422,                 1.2478,                0.58478,                0.47423,                0.53033,                0.28833,                 1.5873,                 1.7738,                 1.3237,             0.00080101,             0.00080101,             0.00080101
                      9,                 1.4947,                 1.7483,                 1.2279,                0.57536,                0.54897,                0.54387,                0.29854,                 1.5752,                  1.715,                 1.3089,             0.00078301,             0.00078301,             0.00078301
                     10,                 1.5023,                 1.6836,                 1.2317,                0.59027,                0.56735,                0.58015,                0.31734,                 1.6115,                  1.636,                 1.3114,             0.00076501,             0.00076501,             0.00076501
                     11,                 1.4474,                 1.6026,                 1.2132,                0.67115,                0.54712,                0.59697,                0.32138,                 1.5625,                 1.6379,                 1.3075,             0.00074702,             0.00074702,             0.00074702
                     12,                 1.4792,                 1.6511,                 1.2252,                0.62833,                 0.5661,                0.61886,                0.34083,                 1.5719,                   1.61,                 1.2942,             0.00072902,             0.00072902,             0.00072902
                     13,                 1.4503,                 1.5408,                 1.2108,                0.64781,                0.59417,                0.63373,                0.34123,                 1.5845,                 1.5582,                 1.3008,             0.00071102,             0.00071102,             0.00071102
                     14,                 1.4542,                 1.5316,                 1.2113,                0.68945,                0.54624,                0.61828,                0.34526,                 1.6331,                 1.5208,                 1.3108,             0.00069302,             0.00069302,             0.00069302
                     15,                 1.4282,                 1.4789,                  1.194,                0.68788,                0.59183,                0.64592,                0.34737,                 1.6327,                 1.5089,                 1.3317,             0.00067502,             0.00067502,             0.00067502
                     16,                 1.4509,                 1.5216,                 1.2136,                0.69425,                0.62415,                0.65808,                0.37867,                 1.5326,                 1.4469,                 1.2724,             0.00065703,             0.00065703,             0.00065703
                     17,                 1.4002,                 1.4292,                 1.1774,                0.66094,                0.63317,                0.66368,                0.37391,                 1.5028,                 1.4385,                 1.2478,             0.00063903,             0.00063903,             0.00063903
                     18,                 1.4052,                 1.4139,                 1.1781,                0.70988,                0.60445,                0.65545,                0.37045,                  1.534,                 1.4318,                 1.2714,             0.00062103,             0.00062103,             0.00062103
                     19,                 1.3485,                 1.3212,                 1.1613,                0.73396,                  0.612,                0.69442,                0.39411,                 1.5271,                 1.4321,                 1.2612,             0.00060303,             0.00060303,             0.00060303
                     20,                 1.3731,                 1.3461,                 1.1689,                0.71221,                0.66842,                0.70096,                0.39378,                 1.5159,                 1.3551,                 1.2736,             0.00058503,             0.00058503,             0.00058503
                     21,                 1.3652,                  1.308,                 1.1716,                0.71815,                0.67027,                0.70961,                0.39202,                 1.5333,                 1.3227,                 1.2535,             0.00056703,             0.00056703,             0.00056703
                     22,                 1.3287,                 1.3217,                 1.1555,                0.77367,                0.64402,                 0.7157,                0.40964,                 1.5301,                  1.308,                 1.2793,             0.00054904,             0.00054904,             0.00054904
                     23,                 1.3593,                 1.2762,                 1.1565,                0.73862,                0.63633,                0.71938,                0.41321,                 1.5149,                 1.3295,                  1.274,             0.00053104,             0.00053104,             0.00053104
                     24,                 1.3498,                 1.2267,                 1.1511,                0.73861,                0.66039,                0.71776,                0.40543,                 1.5326,                 1.3111,                 1.2635,             0.00051304,             0.00051304,             0.00051304
                     25,                 1.3195,                 1.1805,                 1.1325,                0.72445,                 0.7024,                0.72926,                0.41961,                 1.5304,                 1.2728,                 1.2669,             0.00049504,             0.00049504,             0.00049504
                     26,                 1.3201,                 1.2094,                 1.1572,                0.77136,                0.68774,                0.73435,                0.42412,                 1.5322,                 1.2874,                 1.2759,             0.00047704,             0.00047704,             0.00047704
                     27,                 1.3003,                  1.164,                 1.1315,                0.81867,                0.62199,                0.72171,                0.42278,                 1.5203,                 1.2747,                 1.2659,             0.00045904,             0.00045904,             0.00045904
                     28,                 1.2875,                 1.1651,                 1.1301,                0.73857,                0.71972,                0.74862,                0.44099,                 1.5162,                 1.2246,                 1.2527,             0.00044105,             0.00044105,             0.00044105
                     29,                 1.2979,                 1.1808,                  1.134,                0.78353,                0.68668,                0.74336,                   0.43,                 1.5077,                 1.2621,                  1.271,             0.00042305,             0.00042305,             0.00042305
                     30,                  1.267,                 1.1563,                 1.1172,                0.73384,                0.68922,                0.74388,                0.41841,                  1.526,                 1.2436,                 1.2776,             0.00040505,             0.00040505,             0.00040505
                     31,                 1.2606,                  1.131,                 1.1133,                0.68854,                0.69888,                0.73527,                0.43635,                 1.4912,                 1.2014,                 1.2475,             0.00038705,             0.00038705,             0.00038705
                     32,                 1.2928,                 1.0932,                 1.1206,                0.78007,                0.68869,                0.74207,                0.42539,                 1.5126,                 1.2002,                 1.2528,             0.00036905,             0.00036905,             0.00036905
                     33,                 1.2458,                 1.0992,                 1.1111,                0.77017,                0.66021,                0.73218,                0.42137,                 1.5106,                 1.2023,                 1.2605,             0.00035106,             0.00035106,             0.00035106
                     34,                 1.2578,                 1.0619,                 1.1005,                0.79858,                 0.6938,                0.75182,                0.44769,                 1.5009,                 1.1749,                 1.2483,             0.00033306,             0.00033306,             0.00033306
                     35,                 1.2461,                 1.0565,                 1.1052,                0.77552,                0.66988,                0.74658,                0.44351,                 1.4993,                 1.1509,                 1.2468,             0.00031506,             0.00031506,             0.00031506
                     36,                 1.2243,                 1.0318,                 1.0965,                0.82572,                0.68084,                0.75774,                 0.4584,                  1.474,                 1.1294,                 1.2371,             0.00029706,             0.00029706,             0.00029706
                     37,                 1.2269,                 1.0163,                 1.0934,                0.83072,                0.68679,                0.76309,                0.45235,                 1.4874,                   1.14,                 1.2388,             0.00027906,             0.00027906,             0.00027906
                     38,                 1.2164,                0.99704,                 1.0938,                 0.7599,                0.71708,                0.76545,                0.44979,                 1.4923,                 1.1359,                 1.2566,             0.00026106,             0.00026106,             0.00026106
